ID,Questions,Answer
76,"Bagaimana cara menyeimbangkan antara studi, kegiatan kampus, dan kehidupan rohani saya? "," Kolose 3:23 mengingatkan kita, ""Apapun juga yang kamu perbuat, perbuatlah dengan segenap hatimu seperti untuk Tuhan dan bukan untuk manusia."" Menyeimbangkan studi, kegiatan kampus, dan kehidupan rohani dapat dicapai dengan mengatur waktu secara efektif dan menetapkan prioritas. Jangan ragu untuk mencari bantuan dari Pusat Konseling dan Pengembangan Pribadi di Universitas Kristen Petra untuk strategi lebih lanjut."
77,Saya merasa kesulitan untuk mendekatkan diri kepada Tuhan di tengah kesibukan studi saya. Apa yang bisa saya lakukan? ," Mazmur 46:10 mengatakan, ""Diamlah dan ketahuilah, bahwa Akulah Allah."" Menyisihkan waktu setiap hari untuk doa dan membaca Alkitab, bahkan jika hanya beberapa menit, dapat membantu Anda mendekatkan diri kepada Tuhan di tengah kesibukan. Jika Anda membutuhkan bantuan lebih lanjut, kunjungi Pusat Konseling dan Pengembangan Pribadi di Universitas Kristen Petra."
78,Saya merasa tertekan dan cemas tentang masa depan saya. Bagaimana saya bisa menemukan kedamaian dalam Tuhan? ," Yeremia 29:11 mengingatkan kita, ""Sebab Aku ini mengetahui rancangan-rancangan apa yang ada pada-Ku mengenai kamu, demikianlah firman TUHAN, yaitu rancangan damai sejahtera dan bukan rancangan kecelakaan, untuk memberikan kepadamu hari depan yang penuh harapan."" Berdoa dan percaya bahwa Tuhan memiliki rencana yang baik untuk hidup Anda dapat memberikan kedamaian. Jika Anda membutuhkan bantuan lebih lanjut, kunjungi Pusat Konseling dan Pengembangan Pribadi di Universitas Kristen Petra."
79,Bagaimana saya bisa tetap kuat dalam iman saya saat menghadapi berbagai tantangan hidup? ," Efesus 6:10-11 mengajarkan kita, ""Akhirnya, hendaklah kamu kuat di dalam Tuhan, di dalam kekuatan kuasa-Nya. Kenakanlah seluruh perlengkapan senjata Allah, supaya kamu dapat bertahan melawan tipu muslihat Iblis."" Menjaga hubungan yang erat dengan Tuhan melalui doa, membaca Alkitab, dan beribadah dapat memberikan kekuatan. Jika Anda membutuhkan bantuan lebih lanjut, kunjungi Pusat Konseling dan Pengembangan Pribadi di Universitas Kristen Petra."
80,Bagaimana cara mengatasi stres akibat tugas yang menumpuk?,"Stres adalah hal yang wajar, terutama dengan tugas yang menumpuk. Cobalah untuk mengatur waktu dengan lebih baik dan jangan ragu untuk beristirahat. Seperti yang tertulis dalam Matius 11:28, ""Marilah kepada-Ku, semua yang letih lesu dan berbeban berat, Aku akan memberi kelegaan kepadamu."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
81,Saya merasa tertekan dengan ekspektasi orang tua. Apa yang harus saya lakukan?,"Ekspektasi orang tua bisa menjadi beban yang berat. Cobalah untuk berkomunikasi dengan mereka dan sampaikan perasaan Anda. Ingatlah Firman Tuhan dalam Filipi 4:13, ""Segala perkara dapat kutanggung di dalam Dia yang memberi kekuatan kepadaku."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
82,Saya merasa kesepian meskipun banyak teman di sekitar. Apa yang harus saya lakukan?,"Kesepian bisa dirasakan meskipun kita dikelilingi oleh teman. Cobalah untuk lebih terbuka dan berbagi perasaan dengan teman dekat atau keluarga. Dalam Mazmur 23:4 tertulis, ""Sekalipun aku berjalan dalam lembah kekelaman, aku tidak takut bahaya, sebab Engkau besertaku."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
83,Bagaimana saya bisa meningkatkan rasa percaya diri?,"Meningkatkan rasa percaya diri membutuhkan waktu dan usaha. Mulailah dengan mengenali kelebihan Anda dan hargai setiap pencapaian kecil. Ingat kata-kata dalam 2 Timotius 1:7, ""Sebab Allah memberikan kepada kita bukan roh ketakutan, melainkan roh yang membangkitkan kekuatan, kasih, dan ketertiban."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
84,Saya sering merasa cemas tanpa alasan jelas. Bagaimana cara mengatasinya?,"Kecemasan tanpa alasan jelas bisa sangat mengganggu. Cobalah teknik pernapasan dalam dan meditasi untuk menenangkan pikiran. Dalam 1 Petrus 5:7 dikatakan, ""Serahkanlah segala kekuatiranmu kepada-Nya, sebab Ia yang memelihara kamu."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
85,Saya merasa tidak memiliki arah dalam hidup. Apa yang harus saya lakukan?,"Mencari arah dalam hidup adalah perjalanan yang penuh tantangan. Renungkan tujuan hidup Anda dan mintalah petunjuk dari Tuhan. Seperti yang tertulis dalam Amsal 3:5-6, ""Percayalah kepada TUHAN dengan segenap hatimu, dan janganlah bersandar kepada pengertianmu sendiri. Akuilah Dia dalam segala lakumu, maka Ia akan meluruskan jalanmu."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
86,Bagaimana saya bisa menghadapi kegagalan dalam studi?,"Menghadapi kegagalan dalam studi bisa sangat sulit. Cobalah untuk melihat kegagalan sebagai kesempatan untuk belajar dan berkembang. Dalam Roma 8:28 tertulis, ""Kita tahu sekarang, bahwa Allah turut bekerja dalam segala sesuatu untuk mendatangkan kebaikan bagi mereka yang mengasihi Dia, yaitu bagi mereka yang terpanggil sesuai dengan rencana Allah."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
87,Bagaimana saya bisa tetap kuat dalam iman saat menghadapi depresi?,"Menghadapi depresi adalah tantangan besar, tetapi tetaplah berpegang pada iman Anda. Dalam 2 Korintus 12:9, Tuhan berkata, ""Cukuplah kasih karunia-Ku bagimu, sebab justru dalam kelemahanlah kuasa-Ku menjadi sempurna."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
88,Saya sering merasa tidak layak di hadapan Tuhan. Apa yang harus saya lakukan?,"Merasa tidak layak di hadapan Tuhan adalah perasaan yang umum, tetapi ingatlah bahwa kita semua diterima oleh kasih karunia-Nya. Dalam Efesus 2:8-9 dikatakan, ""Sebab karena kasih karunia kamu diselamatkan oleh iman; itu bukan hasil usahamu, tetapi pemberian Allah."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
89,Saya sulit memaafkan diri sendiri atas kesalahan masa lalu. Bagaimana cara mengatasinya?,"Memaafkan diri sendiri bisa sangat sulit, namun penting untuk menerima pengampunan Tuhan. Dalam 1 Yohanes 1:9 tertulis, ""Jika kita mengaku dosa kita, maka Ia adalah setia dan adil, sehingga Ia akan mengampuni segala dosa kita dan menyucikan kita dari segala kejahatan."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
90,Apa yang Alkitab katakan tentang mengatasi kecemasan dan ketakutan?,"Alkitab memberikan banyak ayat yang menguatkan kita dalam menghadapi kecemasan dan ketakutan. Salah satunya adalah Yesaya 41:10, ""Janganlah takut, sebab Aku menyertai engkau, janganlah bimbang, sebab Aku ini Allahmu; Aku akan meneguhkan, bahkan akan menolong engkau; Aku akan memegang engkau dengan tangan kanan-Ku yang membawa kemenangan."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
91,Saya merasa kurang berharga dibandingkan teman-teman saya. Bagaimana saya bisa melihat diri saya seperti Tuhan melihat saya?,"Tuhan melihat kita sebagai ciptaan-Nya yang berharga. Dalam Mazmur 139:14, Daud berkata, ""Aku bersyukur kepada-Mu oleh karena kejadianku dahsyat dan ajaib; ajaib apa yang Kaubuat, dan jiwaku benar-benar menyadarinya."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
92,Bagaimana cara menjaga kesehatan mental saya saat menghadapi kehilangan orang yang saya cintai?,"Kehilangan orang yang dicintai adalah hal yang sangat menyakitkan. Temukan penghiburan dalam Tuhan dan firman-Nya. Dalam Mazmur 34:18 tertulis, ""TUHAN itu dekat kepada orang-orang yang patah hati, dan Ia menyelamatkan orang-orang yang remuk jiwanya."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
93,Apa yang bisa saya lakukan ketika merasa jauh dari Tuhan selama masa sulit ini?,"Merasa jauh dari Tuhan selama masa sulit adalah hal yang umum. Tetaplah berdoa dan membaca Alkitab, mencari kekuatan dalam firman-Nya. Dalam Yakobus 4:8, ""Mendekatlah kepada Allah, dan Ia akan mendekat kepadamu."" Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
94,Apa saja layanan yang ditawarkan oleh PKPP di Universitas Kristen Petra?,"PKPP di Universitas Kristen Petra menawarkan berbagai layanan seperti konseling individu, konseling kelompok, workshop pengembangan diri, dan dukungan kesehatan mental. Kami berkomitmen untuk membantu mahasiswa mengatasi berbagai tantangan yang dihadapi selama masa studi. Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
95,Bagaimana cara membuat janji untuk konseling di PKPP Universitas Kristen Petra?,"Untuk membuat janji konseling di PKPP Universitas Kristen Petra, Anda bisa menghubungi kami melalui telepon/WA di +62 895-2330-5960 atau datang langsung ke Gedung D.111. Kami akan membantu mengatur jadwal yang sesuai dengan kebutuhan Anda. Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Website https://pkpp.petra.ac.id/"
96,Apakah PKPP di Universitas Kristen Petra menyediakan layanan konseling online?,"Ya, PKPP di Universitas Kristen Petra menyediakan layanan konseling online untuk memudahkan mahasiswa yang tidak bisa hadir secara langsung. Anda bisa menghubungi kami melalui telepon/WA di +62 895-2330-5960 untuk informasi lebih lanjut dan penjadwalan. Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Website https://pkpp.petra.ac.id/"
97,Siapa saja konselor yang bekerja di PKPP Universitas Kristen Petra?,"PKPP Universitas Kristen Petra memiliki tim konselor yang berpengalaman dan profesional, termasuk psikolog dan konselor bersertifikat. Mereka siap membantu mahasiswa mengatasi berbagai masalah kesehatan mental dan pengembangan pribadi. Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
98,Apakah ada biaya untuk mendapatkan layanan konseling di PKPP Universitas Kristen Petra?,"Layanan konseling di PKPP Universitas Kristen Petra umumnya tidak dipungut biaya untuk mahasiswa aktif. Kami berusaha memberikan layanan yang terjangkau dan berkualitas untuk mendukung kesehatan mental mahasiswa. Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
99,Bagaimana kerahasiaan saya dijaga saat mendapatkan konseling di PKPP Universitas Kristen Petra?,"PKPP Universitas Kristen Petra sangat menghargai privasi dan kerahasiaan setiap klien. Semua informasi yang dibagikan selama sesi konseling akan dijaga kerahasiaannya sesuai dengan kode etik profesi konselor. Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
100,Apakah PKPP di Universitas Kristen Petra juga memberikan dukungan spiritual selain konseling psikologis?,"Ya, selain konseling psikologis, PKPP di Universitas Kristen Petra juga memberikan dukungan spiritual. Kami memahami pentingnya keseimbangan antara kesehatan mental dan spiritual, dan siap membantu mahasiswa dalam kedua aspek ini. Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
101,Apakah PKPP di Universitas Kristen Petra menyediakan layanan konseling untuk masalah akademik?,"Ya, PKPP di Universitas Kristen Petra menyediakan layanan konseling untuk masalah akademik. Kami membantu mahasiswa mengatasi stres akademik, manajemen waktu, dan strategi belajar yang efektif. Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
102,Bagaimana proses konseling berjalan di PKPP Universitas Kristen Petra?,"Proses konseling di PKPP Universitas Kristen Petra dimulai dengan penjadwalan janji. Selama sesi konseling, konselor akan mendengarkan dan membantu Anda mengidentifikasi masalah serta merencanakan langkah-langkah untuk mengatasinya. Setiap sesi dirancang untuk memberikan dukungan sesuai kebutuhan Anda. Jika anda memerlukan konseling lebih lanjut jangan ragu, kunjungi kami di Pusat Konseling dan Pengembangan Pribadi Universitas Kristen Petra Gedung D.111 Jl. Siwalankerto 121-131, Surabaya Operational hours: Senin - Jumat, 07.30 - 15.30 WIB Telepon/WA: +62 895-2330-5960 Website https://pkpp.petra.ac.id/"
